year,crime,district,neighborhood,address,description
2010-05,241100,6,79,8430 HALL,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
2010-05,266999,4,61,1827 OFALLON ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1541 CASTLE LN,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1106 GRATTAN ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,33,1205 S 14TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7834 RIO TINTO PL,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7841 TENNESSEE PL,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,17,5111 S BROADWAY,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,2831 MERAMEC ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4930 CHRISTY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,1,7112 PENNSYLVANIA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,4120 S COMPTON AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,1228 N 9TH ST,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,16,4215 LOUISIANA AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,61,1630 CASS AVE,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,250000,4,36,709 N TUCKER BLVD,LOITERING-BEGGING
2010-05,266999,1,5,4930 CHRISTY BLVD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,1,5,4321 MORGANFORD RD,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
2010-05,266999,4,62,910 NEW HAVEN DR,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
